First name,Last name,Email,Phone (US),Gender,Birthdate (MM/DD/YYYY),Address,City,State,ZIP Code,Note,Processed by automatic migration?,Last automatic migration error
Deborah,Morris,,21202191104,,12/24/1988,,,,,New client - referred by Dr. Johnson,No,
Emily,Sanchez,,48132381141,,09/05/1983,,,,,Interested in facial treatments,No,
Andrew,Evans,,91206159888,,10/27/1977,,,,,Gift card recipient,No,
Daniel,Adams,,85751083256,,06/21/1976,,,,,Interested in membership,No,
Emily,Smith,,65564368017,,01/19/1966,,,,,First-time client,No,
Carol,Williams,,77803045969,,08/08/1970,,,,,Sensitive skin,No,
George,Reed,,95381773648,,07/18/1961,,,,,,No,
George,Green,,,,04/09/1979,,,,,First-time client,No,
Amanda,Hall,,95954031344,,05/11/1979,,,,,Needs consultation first,No,
Kimberly,Thomas,,39309938496,,07/13/2000,,,,,Reschedule required,No,
Kimberly,Thomas,,93209414690,,12/24/1991,,,,,Referred by friend,No,
Brian,Walker,,,,03/09/1963,,,,,First-time client,No,
James,Brown,,83058911922,,07/04/1987,,,,,Reschedule required,No,
Betty,Walker,,36858971245,,12/02/1989,,,,,,No,
Betty,Thompson,,49411112006,,09/24/1996,,,,,Previous botox at competitor,No,
Michael,Perez,,,,11/04/1977,,,,,Previous botox at competitor,No,
Ashley,Hernandez,,,,12/16/1993,,,,,Prefers Dr. Smith,No,
Joshua,Thompson,,,,07/10/1962,,,,,VIP client,No,
Deborah,Green,,36744149778,,07/27/1971,,,,,New client - referred by Dr. Johnson,No,
Barbara,Edwards,,82109449008,,10/25/1996,,,,,First-time client,No,
Patricia,Sanchez,,33815395258,,11/06/1964,,,,,Interested in facial treatments,No,
David,Williams,,36321122149,,10/24/1975,,,,,Prefers afternoon appointments,No,
Joshua,Scott,,36458591873,,09/03/1961,,,,,Prefers afternoon appointments,No,
Joshua,Allen,,17101341241,,04/10/1997,,,,,Interested in membership,No,
Ashley,Thomas,,,,11/07/1981,,,,,Reschedule required,No,
Emily,Perez,,11711803106,,04/23/1974,,,,,Reschedule required,No,
Karen,Hill,,,,05/10/1982,,,,,New client - referred by Dr. Johnson,No,
Michael,Harris,,,,03/01/1996,,,,,New client - referred by Dr. Johnson,No,
Edward,Walker,,75387694641,,03/26/1979,,,,,First-time client,No,
John,Sanchez,,,,08/05/1978,,,,,Prefers Dr. Smith,No,
Andrew,Lee,,,,11/11/1975,,,,,Referred by friend,No,
Sarah,Clark,,13411486296,,02/23/1972,,,,,Interested in facial treatments,No,
James,Baker,,14837533664,,12/24/1965,,,,,Sensitive skin,No,
William,Martinez,,,,06/27/1979,,,,,First-time client,No,
Thomas,Hernandez,,49765946058,,06/21/1989,,,,,Prefers Dr. Smith,No,
Donald,Cook,,,,06/25/1970,,,,,Reschedule required,No,
Brian,Lewis,,54255315941,,03/19/1963,,,,,,No,
Nancy,Thomas,,85711146285,,03/01/1979,,,,,First-time client,No,
Ronald,Baker,,48095994170,,06/26/1996,,,,,New client - referred by Dr. Johnson,No,
Deborah,Thomas,,,,06/23/1977,,,,,Prefers afternoon appointments,No,
Melissa,Clark,,96987643940,,02/09/1971,,,,,,No,
Amanda,Campbell,Amanda.Campbell+589303@example.com,,,09/22/1968,,,,,,No,
Amanda,Gonzalez,Amanda.Gonzalez+730031@example.com,92608925271,,11/02/1996,,,,,Allergic to lidocaine,No,
Amanda,Harris,Amanda.Harris+808978@example.com,89482311719,,01/21/1971,,,,,Interested in membership,No,
Amanda,Martinez,Amanda.Martinez+603243@example.com,98783359549,,05/12/1988,,,,,Interested in membership,No,
Amanda,Turner,Amanda.Turner+758829@example.com,16142557884,,07/21/1985,,,,,Reschedule required,No,
Andrew,Hernandez,Andrew.Hernandez+973865@example.com,82347984949,,02/09/1980,,,,,Sensitive skin,No,
Andrew,Miller,Andrew.Miller+220513@example.com,,,09/05/1982,,,,,,No,
Andrew,Moore,Andrew.Moore+626878@example.com,,,03/03/1961,,,,,Needs consultation first,No,
Andrew,Morris,Andrew.Morris+610674@example.com,,,09/15/1976,,,,,Needs consultation first,No,
Andrew,Taylor,Andrew.Taylor+329944@example.com,,,03/01/1979,,,,,Reschedule required,No,
Anthony,Collins,Anthony.Collins+143915@example.com,,,09/11/1973,,,,,,No,
